City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,khatanga,RU,71.9667,102.5,-10.61,99.0,100.0,4.32,overcast clouds
1,ilulissat,GL,69.2167,-51.1,33.8,86.0,90.0,10.36,snow
2,punta arenas,CL,-53.15,-70.9167,46.4,71.0,0.0,14.97,clear sky
4,puerto ayora,EC,-0.7393,-90.3518,79.0,91.0,72.0,8.01,broken clouds
5,peniche,PT,39.3558,-9.3811,59.0,87.0,100.0,1.01,overcast clouds
6,cape town,ZA,-33.9258,18.4232,64.0,88.0,0.0,8.05,clear sky
7,ushuaia,AR,-54.8,-68.3,42.8,61.0,20.0,26.46,few clouds
8,victoria,HK,22.2855,114.1577,70.0,87.0,100.0,1.01,overcast clouds
9,college,US,64.8569,-147.8028,12.2,57.0,75.0,17.27,light snow
10,kavieng,PG,-2.5744,150.7967,80.35,83.0,100.0,11.1,moderate rain
11,ponta do sol,PT,32.6667,-17.1,60.01,76.0,97.0,1.99,overcast clouds
12,lasem,ID,-6.6922,111.4527,79.32,86.0,100.0,3.65,overcast clouds
13,qaanaaq,GL,77.484,-69.3632,9.34,72.0,100.0,3.69,overcast clouds
14,barrow,US,71.2906,-156.7887,-14.8,70.0,1.0,8.05,clear sky
15,jamestown,US,42.097,-79.2353,73.4,33.0,1.0,10.36,clear sky
16,atuona,PF,-9.8,-139.0333,81.1,70.0,8.0,15.43,clear sky
17,bontang,ID,0.1333,117.5,77.94,88.0,100.0,3.31,overcast clouds
18,bredasdorp,ZA,-34.5322,20.0403,59.0,94.0,7.0,3.44,clear sky
19,portland,US,45.5234,-122.6762,55.99,37.0,75.0,3.44,broken clouds
20,lorengau,PG,-2.0226,147.2712,83.53,78.0,100.0,13.31,overcast clouds
21,hermanus,ZA,-34.4187,19.2345,60.01,86.0,10.0,3.83,clear sky
22,tocopilla,CL,-22.092,-70.1979,70.14,73.0,99.0,12.19,overcast clouds
24,kruisfontein,ZA,-34.0033,24.7314,61.0,94.0,4.0,4.29,clear sky
25,klaksvik,FO,62.2266,-6.589,30.2,59.0,20.0,26.46,light snow
26,saldanha,ZA,-33.0117,17.9442,59.0,88.0,82.0,4.61,broken clouds
27,bergen,NO,60.392,5.328,39.2,81.0,75.0,23.02,broken clouds
28,cidreira,BR,-30.1811,-50.2056,74.66,79.0,63.0,24.54,broken clouds
29,arraial do cabo,BR,-22.9661,-42.0278,76.05,70.0,48.0,18.16,scattered clouds
30,guerrero negro,MX,27.9769,-114.0611,70.74,49.0,0.0,20.92,clear sky
31,kapaa,US,22.0752,-159.319,78.8,57.0,75.0,14.97,light rain
32,takoradi,GH,4.8845,-1.7554,80.29,86.0,93.0,5.48,light rain
33,bengkulu,ID,-3.8004,102.2655,75.51,85.0,87.0,5.73,overcast clouds
35,ayagoz,KZ,47.9714,80.4392,41.5,69.0,28.0,5.95,scattered clouds
36,sao joao da barra,BR,-21.6403,-41.0511,74.43,75.0,18.0,10.89,few clouds
38,castro,BR,-24.7911,-50.0119,60.48,94.0,83.0,7.47,broken clouds
39,nemuro,JP,43.3236,145.575,39.2,38.0,20.0,8.05,few clouds
40,provideniya,RU,64.3833,-173.3,5.0,72.0,20.0,4.47,few clouds
41,rikitea,PF,-23.1203,-134.9692,76.82,62.0,14.0,2.01,few clouds
42,souillac,MU,-20.5167,57.5167,77.0,83.0,40.0,6.91,scattered clouds
43,luanda,AO,-8.8368,13.2343,75.2,94.0,75.0,8.05,light rain
44,aklavik,CA,68.2191,-135.0107,-11.2,64.0,90.0,25.32,snow
45,southbridge,US,42.0751,-72.0334,60.8,51.0,1.0,8.05,clear sky
46,mahebourg,MU,-20.4081,57.7,77.0,83.0,40.0,6.91,scattered clouds
47,zitsa,GR,39.6943,20.6372,39.2,38.0,1.0,4.61,clear sky
48,leningradskiy,RU,69.3833,178.4167,-4.34,84.0,19.0,1.86,few clouds
49,banda aceh,ID,5.5577,95.3222,79.11,79.0,63.0,2.13,broken clouds
50,butaritari,KI,3.0707,172.7902,81.64,80.0,72.0,14.76,light rain
51,cherskiy,RU,68.75,161.3,11.55,71.0,67.0,6.02,broken clouds
52,vaini,TO,-21.2,-175.2,78.8,78.0,20.0,8.05,light rain
53,nikolskoye,RU,59.7035,30.7861,34.0,74.0,0.0,8.95,clear sky
54,chamonix-mont-blanc,FR,45.9238,6.8693,41.0,66.0,16.0,7.27,few clouds
55,solnechnyy,RU,50.7214,136.6319,29.93,71.0,98.0,8.63,overcast clouds
57,hilo,US,19.7297,-155.09,77.0,53.0,90.0,11.5,overcast clouds
58,hobart,AU,-42.8794,147.3294,57.99,50.0,75.0,11.5,light rain
59,san patricio,US,28.017,-97.5169,80.6,69.0,1.0,20.71,clear sky
60,sagua la grande,CU,22.8067,-80.0756,78.8,61.0,20.0,14.97,few clouds
61,torbay,CA,47.6666,-52.7314,39.99,100.0,90.0,19.57,light intensity drizzle
63,necochea,AR,-38.5473,-58.7368,59.0,97.0,99.0,6.26,overcast clouds
64,sao filipe,CV,14.8961,-24.4956,73.94,66.0,1.0,11.95,clear sky
65,carnarvon,AU,-24.8667,113.6333,75.2,73.0,75.0,11.5,broken clouds
66,padang,ID,-0.9492,100.3543,75.2,100.0,20.0,2.3,few clouds
69,along,IN,28.1667,94.7667,66.87,66.0,85.0,1.34,overcast clouds
70,phalaborwa,ZA,-23.943,31.1411,68.0,77.0,0.0,3.44,clear sky
71,laguna,US,38.421,-121.4238,78.01,22.0,1.0,4.61,clear sky
72,saint george,US,37.1041,-113.5841,82.0,5.0,1.0,18.41,clear sky
73,behshahr,IR,36.6923,53.5526,66.33,38.0,44.0,5.44,scattered clouds
74,bluff,NZ,-46.6,168.3333,54.9,67.0,4.0,5.1,clear sky
75,mar del plata,AR,-38.0023,-57.5575,66.99,88.0,0.0,6.91,clear sky
76,bambous virieux,MU,-20.3428,57.7575,79.0,83.0,40.0,6.91,scattered clouds
77,port alfred,ZA,-33.5906,26.891,65.01,86.0,37.0,4.94,scattered clouds
78,saskylakh,RU,71.9167,114.0833,-12.33,99.0,100.0,6.51,overcast clouds
79,mutoko,ZW,-17.397,32.2268,55.15,77.0,40.0,3.06,scattered clouds
80,kahului,US,20.8947,-156.47,78.8,57.0,40.0,20.71,scattered clouds
81,rio grande,BR,-32.035,-52.0986,73.0,89.0,100.0,1.01,overcast clouds
