City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bud,US,2021-04-01 14:31:04,39.447,-86.1758,33.01,74,90,12.66
1,Hermanus,ZA,2021-04-01 14:31:05,-34.4187,19.2345,71.01,52,67,7.0
2,Camacha,PT,2021-04-01 14:31:05,33.0833,-16.3333,66.2,77,20,16.11
3,Ponta Do Sol,PT,2021-04-01 14:31:05,32.6667,-17.1,68.0,73,40,6.91
4,Port Elizabeth,ZA,2021-04-01 14:31:05,-33.918,25.5701,68.0,73,20,13.8
5,Saldanha,ZA,2021-04-01 14:31:06,-33.0117,17.9442,71.6,43,50,17.27
6,Strezhevoy,RU,2021-04-01 14:31:06,60.7333,77.5889,32.0,93,90,13.42
7,Chuy,UY,2021-04-01 14:30:50,-33.6971,-53.4616,71.02,54,48,8.72
8,Ribeira Grande,PT,2021-04-01 14:31:06,38.5167,-28.7,62.6,82,40,17.27
9,Arraial Do Cabo,BR,2021-04-01 14:31:07,-22.9661,-42.0278,84.2,54,0,21.85
10,Kilindoni,TZ,2021-04-01 14:31:07,-7.9139,39.6668,83.05,71,100,17.65
11,Hithadhoo,MV,2021-04-01 14:31:07,-0.6,73.0833,84.04,77,100,16.11
12,Mar Del Plata,AR,2021-04-01 14:31:07,-38.0023,-57.5575,66.99,68,75,9.22
13,Bilma,NE,2021-04-01 14:31:08,18.6853,12.9164,88.81,6,0,12.53
14,Castro,BR,2021-04-01 14:28:11,-24.7911,-50.0119,66.78,49,54,2.95
15,Touros,BR,2021-04-01 14:31:08,-5.1989,-35.4608,86.0,62,40,14.97
16,Port Alfred,ZA,2021-04-01 14:31:08,-33.5906,26.891,68.94,71,44,12.5
17,Padang,ID,2021-04-01 14:31:09,-0.9492,100.3543,78.8,89,90,1.14
18,Killybegs,IE,2021-04-01 14:31:09,54.6333,-8.45,59.0,67,0,12.66
19,East London,ZA,2021-04-01 14:31:09,-33.0153,27.9116,66.2,68,20,11.5
20,Ushuaia,AR,2021-04-01 14:31:10,-54.8,-68.3,51.8,62,0,3.44
21,Cape Town,ZA,2021-04-01 14:27:18,-33.9258,18.4232,71.01,52,0,20.71
22,Aquiraz,BR,2021-04-01 14:31:10,-3.9014,-38.3911,88.0,66,75,13.8
23,Namibe,AO,2021-04-01 14:31:10,-15.1961,12.1522,84.2,65,40,11.5
24,Tasiilaq,GL,2021-04-01 14:31:11,65.6145,-37.6368,30.2,74,75,8.05
25,Lambare,PY,2021-04-01 14:26:27,-25.3468,-57.6065,78.8,47,0,6.91
